GeoID,Tract,TotalPop,MalePopulation,FemalePop,Age65andOver,WhiteOnly,BlackOnly,AIANOnly,AsianOnly,AsianIndian,AsianChinese,AsianFilipino,AsianJapanese,AsianKorean,AsianVietnamese,NHPIOnly,OtherRaceOnly,TwoOrMoreRaces,HispanicPop,EligibleVote,PercentofEligible2019
53033031907,"Census Tract 319.07, King County, Washington",8284,3979,4305,1062,4735,514,58,1639,164,875,199,81,67,160,24,183,1131,694,5751,0.8
53033031908,"Census Tract 319.08, King County, Washington",4377,2270,2107,490,2627,721,0,329,20,54,112,20,17,35,152,60,488,360,3318,0.72
53033031909,"Census Tract 319.09, King County, Washington",3261,1652,1609,482,2045,420,0,658,1,203,135,40,24,90,23,1,114,105,2287,0.81
53033032002,"Census Tract 320.02, King County, Washington",3230,1688,1542,432,2980,92,0,30,0,12,0,12,6,0,0,38,90,73,2454,0.88
53033032003,"Census Tract 320.03, King County, Washington",5557,2991,2566,717,5059,19,0,123,65,41,6,11,0,0,0,69,287,334,4207,0.91
53033032005,"Census Tract 320.05, King County, Washington",6814,3471,3343,762,5385,181,20,604,0,0,265,120,21,158,96,0,528,472,5173,0.81
53033032006,"Census Tract 320.06, King County, Washington",5562,2642,2920,903,4827,101,30,160,49,34,8,32,18,0,40,57,347,301,4069,0.91
53033032007,"Census Tract 320.07, King County, Washington",3513,1752,1761,420,3110,144,11,60,0,7,17,12,12,0,32,8,148,148,2620,0.91
53033032008,"Census Tract 320.08, King County, Washington",4508,2325,2183,552,3949,41,0,170,0,24,38,27,0,0,0,110,238,383,3236,0.89
53033032010,"Census Tract 320.10, King County, Washington",6229,3034,3195,554,5318,23,28,404,86,101,167,0,16,0,0,15,441,299,4099,0.91
53033032011,"Census Tract 320.11, King County, Washington",4455,2247,2208,351,3692,54,0,313,75,132,24,41,18,0,0,0,396,203,2792,0.91
53033032102,"Census Tract 321.02, King County, Washington",5277,2840,2437,782,4875,25,0,184,11,81,12,23,35,0,0,12,181,226,3942,0.91
53033032103,"Census Tract 321.03, King County, Washington",5410,2864,2546,698,4377,67,0,568,82,147,63,51,86,20,0,201,197,684,3774,0.91
53033032104,"Census Tract 321.04, King County, Washington",6267,2882,3385,999,4737,113,0,445,71,143,39,72,0,120,0,728,244,1026,4447,0.81
53033032203,"Census Tract 322.03, King County, Washington",8320,4034,4286,744,5503,2,0,2505,1503,699,16,0,266,21,0,99,211,391,4700,0.91
53033032207,"Census Tract 322.07, King County, Washington",3871,1824,2047,431,2926,18,0,749,458,242,10,39,0,0,0,0,178,108,2475,0.91
53033032208,"Census Tract 322.08, King County, Washington",9649,4574,5075,2061,6584,145,7,2258,620,948,112,213,193,16,0,62,593,737,6526,0.85
53033032210,"Census Tract 322.10, King County, Washington",15208,7490,7718,910,8613,545,124,4348,2127,1413,176,116,357,0,0,568,1010,1260,8749,0.91
53033032211,"Census Tract 322.11, King County, Washington",5047,2515,2532,505,3117,62,64,1510,459,575,76,97,45,0,13,0,281,219,2794,0.78
53033032212,"Census Tract 322.12, King County, Washington",8209,3761,4448,721,4457,298,0,2947,1171,996,88,341,77,20,0,63,444,337,4467,0.77
53033032213,"Census Tract 322.13, King County, Washington",4306,2095,2211,417,3162,1,38,1011,376,465,0,17,109,44,0,1,93,145,2737,0.91
53033032214,"Census Tract 322.14, King County, Washington",6876,3357,3519,395,3461,33,0,3094,1310,1369,0,110,30,144,24,0,264,188,3308,0.8
53033032215,"Census Tract 322.15, King County, Washington",5189,2658,2531,317,2689,182,0,2178,805,1105,10,8,182,0,0,10,130,75,2540,0.91
53033032307,"Census Tract 323.07, King County, Washington",6034,2948,3086,727,5299,0,0,414,170,96,66,42,0,0,0,16,305,194,4148,0.88
53033032309,"Census Tract 323.09, King County, Washington",8842,4675,4167,750,4125,168,26,3724,1849,1025,0,375,237,115,22,70,707,391,4678,0.86
53033032311,"Census Tract 323.11, King County, Washington",5836,3086,2750,782,5043,109,0,447,0,335,78,22,0,0,0,15,222,206,4275,0.91
53033032313,"Census Tract 323.13, King County, Washington",6858,3716,3142,596,2413,176,0,3718,2769,484,127,44,97,20,0,57,494,424,2998,0.5
53033032315,"Census Tract 323.15, King County, Washington",5335,2694,2641,657,4707,32,5,427,180,74,9,71,41,25,0,10,154,207,3882,0.91
53033032316,"Census Tract 323.16, King County, Washington",5463,2733,2730,470,3595,55,0,1561,626,627,41,80,14,47,33,9,210,49,3295,0.88
53033032317,"Census Tract 323.17, King County, Washington",6548,3298,3250,629,4760,36,0,1298,510,676,0,47,12,0,0,63,391,360,3973,0.82
53033032318,"Census Tract 323.18, King County, Washington",7115,3766,3349,407,3790,66,15,2924,1739,941,42,18,103,40,0,0,320,203,3598,0.79
53033032319,"Census Tract 323.19, King County, Washington",5994,2929,3065,1014,5186,102,4,339,144,71,88,36,0,0,22,79,262,392,4449,0.89
53033032320,"Census Tract 323.20, King County, Washington",4659,2443,2216,701,4144,40,11,304,139,92,30,11,23,9,28,21,111,199,3332,0.91
53033032321,"Census Tract 323.21, King County, Washington",6655,3286,3369,721,3740,23,33,2499,1072,1154,9,9,79,82,11,39,310,295,3551,0.91
53033032322,"Census Tract 323.22, King County, Washington",3448,1799,1649,420,2665,22,0,599,169,283,0,54,0,17,0,12,150,93,2252,0.87
53033032323,"Census Tract 323.23, King County, Washington",6061,3091,2970,842,4275,24,0,1388,841,221,56,148,18,0,0,46,328,506,3682,0.81
53033032324,"Census Tract 323.24, King County, Washington",6066,2964,3102,550,3849,141,0,1680,764,510,0,231,62,12,0,249,147,716,3239,0.71
53033032325,"Census Tract 323.25, King County, Washington",6026,2875,3151,454,3472,200,57,1791,930,328,4,96,21,22,0,51,455,469,3038,0.62
53033032326,"Census Tract 323.26, King County, Washington",3667,1795,1872,718,2949,31,0,461,198,167,0,37,42,0,0,85,141,325,2581,0.87
53033032327,"Census Tract 323.27, King County, Washington",4313,2035,2278,2228,3778,66,12,389,197,79,11,45,24,0,0,12,56,204,3667,0.91
53033032328,"Census Tract 323.28, King County, Washington",3435,1733,1702,414,2747,68,30,446,331,41,0,22,9,0,0,0,144,104,2063,0.89
53033032329,"Census Tract 323.29, King County, Washington",8926,4453,4473,860,4502,59,14,3949,2686,743,19,134,176,0,0,41,361,344,4200,0.88
53033032401,"Census Tract 324.01, King County, Washington",6174,3128,3046,605,5871,2,0,156,25,20,0,92,19,0,0,3,142,44,4314,0.91
53033032402,"Census Tract 324.02, King County, Washington",7025,3464,3561,637,6194,79,10,214,16,15,0,41,48,0,0,359,169,888,4871,0.91
53033032500,"Census Tract 325, King County, Washington",5447,2689,2758,605,5117,56,8,98,0,7,14,24,9,20,8,15,145,355,4072,0.91
53033032601,"Census Tract 326.01, King County, Washington",3166,1545,1621,576,2685,0,0,156,8,45,90,0,0,13,27,55,243,309,2309,0.86
53033032602,"Census Tract 326.02, King County, Washington",14491,7215,7276,1174,11573,154,32,1690,761,209,236,117,120,17,0,247,795,809,8697,0.91
53033032702,"Census Tract 327.02, King County, Washington",6828,3478,3350,631,6224,109,77,60,0,20,23,17,0,0,13,125,220,284,5141,0.91
53033032703,"Census Tract 327.03, King County, Washington",2486,1347,1139,189,2309,0,10,55,0,14,8,0,14,8,0,23,89,191,1819,0.81
53033032704,"Census Tract 327.04, King County, Washington",7326,3789,3537,919,6096,82,0,218,0,50,105,0,19,0,0,610,320,942,5119,0.91
53033032800,"Census Tract 328, King County, Washington",2557,1319,1238,318,2471,9,19,16,0,10,0,0,0,0,0,0,42,124,2133,0.86
